designation,type,edi_name,manual_label,weight_lb_ft,area_sq_in,depth_in,flange_w_in,web_t_in,flange_t_in
WT18X151,WT,WT18X151,WT18X151,151.0,44.5,18.7,16.7,0.945,1.68
WT18X141,WT,WT18X141,WT18X141,141.0,41.5,18.6,16.6,0.885,1.57
WT18X131,WT,WT18X131,WT18X131,131.0,38.5,18.4,16.6,0.84,1.44
WT18X123.5,WT,WT18X123.5,WT18X123.5,123.5,36.3,18.3,16.5,0.8,1.35
WT18X115.5,WT,WT18X115.5,WT18X115.5,115.5,34.1,18.2,16.5,0.76,1.26
WT18X193.5,WT,WT18X193.5,WT18X193.5,193.5,56.8,19.5,12.7,1.42,2.56
WT18X175,WT,WT18X175,WT18X175,175.0,51.5,19.3,12.6,1.3,2.32
WT18X159,WT,WT18X159,WT18X159,159.0,46.7,19.1,12.4,1.18,2.13
WT18X143,WT,WT18X143,WT18X143,143.0,42.0,18.9,12.3,1.06,1.93
WT18X128,WT,WT18X128,WT18X128,128.0,37.6,18.7,12.2,0.96,1.73
WT18X116,WT,WT18X116,WT18X116,116.0,34.0,18.6,12.1,0.87,1.57
WT18X105,WT,WT18X105,WT18X105,105.0,30.9,18.3,12.2,0.83,1.36
WT18X97,WT,WT18X97,WT18X97,97.0,28.5,18.2,12.1,0.765,1.26
WT18X91,WT,WT18X91,WT18X91,91.0,26.8,18.2,12.1,0.725,1.18
WT18X85,WT,WT18X85,WT18X85,85.0,25.0,18.1,12.0,0.68,1.1
